,count,mean,std,min,25%,50%,75%,max
time_insec_dep,5761.0,49149.96701961465,18865.19781943124,600.0,33660.0,49500.0,64740.0,86340.0
time_insec_arr,5761.0,54496.590869640684,19513.036099496585,120.0,39180.0,56040.0,70200.0,86340.0
ORIGIN_AIRPORT,5761.0,36.70821038014233,20.805842285352323,0.0,13.0,37.0,54.0,78.0
DEPARTURE_DELAY,5761.0,1.6223887650392956,6.623273597289706,-28.0,-2.4,0.5,4.111111111111111,57.0
DISTANCE,5761.0,981.9445405523892,677.5609915854369,83.0,449.0,742.0,1475.0,2979.0
weekday,5761.0,3.36903461566107,1.1658639915610967,0.0,2.8181818181818183,3.0307692307692307,3.6,6.0
