,count,mean,std,min,25%,50%,75%,max
time_insec_dep,21542.0,48347.96769102219,18147.55947141027,60.0,32700.0,48300.0,63300.0,86340.0
time_insec_arr,21542.0,54904.18902608857,18958.08870133687,60.0,40440.0,56160.0,70440.0,86340.0
ORIGIN_AIRPORT,21542.0,109.66191625661499,47.47453156097079,0.0,92.0,109.0,149.75,186.0
DEPARTURE_DELAY,21542.0,1.8164309079583831,7.314246009981031,-25.0,-2.6464052287581703,0.44,4.333333333333333,59.0
DISTANCE,21542.0,1051.8935870064001,653.1451046079864,83.0,588.0,949.0,1389.0,3784.0
weekday,21542.0,3.3322203504650276,1.039732638426694,0.0,2.814814814814815,3.0,3.772727272727273,6.0
