,count,mean,std,min,25%,50%,75%,max
time_insec_dep,8132.0,48595.66158386621,16775.614654825233,18000.0,34200.0,48480.0,62400.0,86100.0
time_insec_arr,8132.0,53224.44909001476,17413.68282431469,60.0,39900.0,53220.0,67500.0,86340.0
ORIGIN_AIRPORT,8132.0,155.42486473192326,57.30726076648374,0.0,132.0,151.0,209.0,242.0
DEPARTURE_DELAY,8132.0,1.8343046800075673,8.067380879607976,-20.0,-3.0,0.30267794221282596,4.531770833333333,59.0
DISTANCE,8132.0,423.5211329166821,241.41195080094454,89.0,235.0,364.0,594.0,1250.0
weekday,8132.0,3.2739430354845966,0.9258884643753124,0.0,2.782608695652174,3.0,3.5,6.0
