,count,mean,std,min,25%,50%,75%,max
time_insec_dep,1981.0,49694.32609793034,16864.592066467365,2100.0,34200.0,48900.0,63000.0,86340.0
time_insec_arr,1981.0,57330.62089853609,17166.232976814987,300.0,43500.0,59100.0,72000.0,86340.0
ORIGIN_AIRPORT,1981.0,23.9994952044422,10.456716934008591,0.0,17.0,27.0,33.0,37.0
DEPARTURE_DELAY,1981.0,2.391985920078238,7.531179766087866,-19.0,-2.25,0.9803921568627452,5.05128205128205,53.0
DISTANCE,1981.0,1311.7544329846248,885.043287122376,189.0,414.0,1246.0,2342.2745098039222,2704.0
weekday,1981.0,3.380494257166363,1.2582040277865068,0.0,2.631578947368421,3.0,4.083333333333333,6.0
