,count,mean,std,min,25%,50%,75%,max
time_insec_dep,5305.0,49145.406220546654,18980.186196461214,300.0,33000.0,48900.0,65400.0,86100.0
time_insec_arr,5305.0,54904.704995287466,20327.086381347755,60.0,39300.0,57600.0,73200.0,86340.0
ORIGIN_AIRPORT,5305.0,92.27049952874647,30.34178368728244,0.0,66.0,105.0,117.0,128.0
DEPARTURE_DELAY,5305.0,-2.0203461495939234,5.697613597231386,-26.0,-5.357142857142857,-2.4615384615384617,0.6666666666666666,59.0
DISTANCE,5305.0,1242.2880739600962,751.3009333130793,31.0,680.0,978.0,1660.0,2874.0
weekday,5305.0,3.104703527376818,0.7625072639748502,0.0,2.888888888888889,3.0,3.1346153846153846,6.0
