,count,mean,std,min,25%,50%,75%,max
time_insec_dep,3256.0,49912.37100737101,20022.532450809624,180.0,32400.0,50610.0,67275.0,86340.0
time_insec_arr,3256.0,53657.72727272727,21187.98138862396,120.0,36480.0,54780.0,71640.0,86340.0
ORIGIN_AIRPORT,3256.0,39.630528255528255,15.498976979186462,0.0,33.75,42.0,50.0,65.0
DEPARTURE_DELAY,3256.0,3.7460032360315214,8.241768460732423,-18.0,-1.875,2.261208576998051,7.89296875,59.0
DISTANCE,3256.0,999.1776546590468,446.2915615326429,177.0,666.7627118644067,982.0,1182.0,2381.0
weekday,3256.0,3.1910485238927793,0.701765223300552,0.0,2.9,3.0,3.2666666666666666,6.0
