,count,mean,std,min,25%,50%,75%,max
time_insec_dep,44570.0,48857.77518510209,16295.552025427014,60.0,35760.0,48900.0,62220.0,86340.0
time_insec_arr,44570.0,54305.39286515593,16849.184666514062,60.0,41460.0,54780.0,67380.0,86340.0
ORIGIN_AIRPORT,44570.0,266.1172986313664,84.84072193008743,0.0,229.0,284.0,329.0,381.0
DEPARTURE_DELAY,44570.0,0.8468990729190159,9.44950450114572,-38.0,-4.75,-1.4583333333333333,3.5328125,59.0
DISTANCE,44570.0,521.4862645841478,333.35541623688573,62.0,262.0,451.65318627450984,686.3214285714284,1735.0
weekday,44570.0,3.643553992128324,1.5775635080681945,0.0,2.533333333333333,3.1428571428571432,5.0,6.0
