,count,mean,std,min,25%,50%,75%,max
time_insec_dep,50966.0,47479.3470156575,16950.523798758106,18000.0,32400.0,46800.0,61800.0,85500.0
time_insec_arr,50966.0,53822.51108582192,18176.93698142537,300.0,39300.0,54300.0,68700.0,86100.0
ORIGIN_AIRPORT,50966.0,112.99068006121728,41.52491237024588,0.0,93.0,124.0,143.0,171.0
DEPARTURE_DELAY,50966.0,4.210477498891524,8.358183361319572,-14.0,-1.514167324388319,2.142857142857143,7.833333333333332,59.0
DISTANCE,50966.0,779.4716039052497,453.5825848990922,148.0,405.0,674.0,1020.0,2447.0
weekday,50966.0,3.7171034970502097,1.3199161590815522,0.0,2.6666666666666665,3.5,5.0,6.0
