,count,mean,std,min,25%,50%,75%,max
time_insec_dep,64980.0,48717.57617728532,17811.298063766226,60.0,32940.0,47940.0,63600.0,86340.0
time_insec_arr,64980.0,54333.97229916898,19771.619451791856,60.0,40020.0,56580.0,70860.0,86340.0
ORIGIN_AIRPORT,64980.0,121.25630963373345,38.13197308898803,0.0,108.0,124.0,149.0,178.0
DEPARTURE_DELAY,64980.0,4.485104768501193,10.81590042714602,-24.0,-2.6666666666666665,1.6666666666666667,8.536401098901099,59.0
DISTANCE,64980.0,1218.259792681056,676.5874607044601,80.0,733.0,1024.0,1635.0,4962.0
weekday,64980.0,3.521917362711021,1.7664413674379893,0.0,2.0,3.1428571428571432,5.0,6.0
