,count,mean,std,min,25%,50%,75%,max
time_insec_dep,46650.0,48364.985209003215,15500.191969900587,60.0,36000.0,48540.0,60840.0,86340.0
time_insec_arr,46650.0,54261.94726688103,15665.852810076392,60.0,41340.0,54000.0,66480.0,86340.0
ORIGIN_AIRPORT,46650.0,220.4779635584137,72.25814908395124,0.0,181.0,221.0,276.0,338.0
DEPARTURE_DELAY,46650.0,0.3846393388794097,9.205963691640715,-30.0,-5.0,-2.0,3.0,59.0
DISTANCE,46650.0,476.08051744076784,257.5760804527397,67.0,277.0,445.0,641.0,1330.0
weekday,46650.0,3.593743796122775,1.599500412781393,0.0,2.4545454545454546,3.1333333333333333,5.0,6.0
