,count,mean,std,min,25%,50%,75%,max
time_insec_dep,10700.0,50712.07289719626,18489.51945806038,2400.0,34500.0,51000.0,66840.0,86340.0
time_insec_arr,10700.0,54085.345794392524,20633.131490318923,60.0,38700.0,55650.0,72000.0,86340.0
ORIGIN_AIRPORT,10700.0,75.12822429906542,30.217589695544692,0.0,67.0,83.0,92.0,124.0
DEPARTURE_DELAY,10700.0,3.0804776748577867,8.551126319567715,-24.0,-2.6588541666666665,1.3937969924812028,6.809523809523809,59.0
DISTANCE,10700.0,1068.963341690672,677.4442945811938,68.0,496.0,1028.0,1237.0,2704.0
weekday,10700.0,3.2144429962287635,0.9883195409331035,0.0,2.7857142857142856,3.0,3.410633484162896,6.0
