,count,mean,std,min,25%,50%,75%,max
time_insec_dep,1394.0,48556.829268292684,16591.337536586816,6300.0,35040.0,48420.0,61185.0,84300.0
time_insec_arr,1394.0,52947.58967001435,17860.581407083602,18000.0,39030.0,52110.0,68685.0,86100.0
ORIGIN_AIRPORT,1394.0,15.975609756097562,8.53526827612202,0.0,10.0,17.0,23.0,33.0
DEPARTURE_DELAY,1394.0,-1.4135223641513133,4.5819734789985045,-22.0,-4.358983050847458,-2.034482758620689,0.9975247524752475,37.0
DISTANCE,1394.0,798.9775089814773,1165.9391108504428,84.0,102.0,163.0,2349.0,4983.0
weekday,1394.0,3.2704344682687227,0.7924255939028316,0.0,2.950819672131148,3.005479493184411,3.293965517241379,6.0
