,count,mean,std,min,25%,50%,75%,max
time_insec_dep,61187.0,48879.206367365616,17317.49458329696,60.0,34200.0,48600.0,63000.0,86340.0
time_insec_arr,61187.0,55614.455685031135,17530.6505823728,60.0,41280.0,56460.0,70080.0,86340.0
ORIGIN_AIRPORT,61187.0,188.87410724500302,68.78140941451005,0.0,148.0,186.0,242.0,298.0
DEPARTURE_DELAY,61187.0,1.538127699281096,7.363377059120435,-52.0,-3.0,-0.16666666666666666,3.898717948717949,59.0
DISTANCE,61187.0,896.5791176763977,620.3791775399849,74.0,436.0,692.0,1149.0,4983.0
weekday,61187.0,3.595151924081258,1.4198654354813123,0.0,2.625,3.1052631578947367,5.0,6.0
